code,date,itrf2008_X,itrf2008_Y,itrf2008_Z,itrf2008_lon,itrf2008_lat,itrf2008_hgt,itrf96_lon,itrf96_lat,itrf96_hgt,nzgd2000_lon,nzgd2000_lat,nzgd2000_hgt,gdb_lon,gdb_lat,gdb_hgt,e_diff,n_diff,h_diff
"AUCK","06-10-2014",-5105681.4066,461564.0111,-3782181.1738,174.834386194,-36.602839223,132.6843,174.834386451,-36.602839457,132.6923,174.834385467,-36.602844621,132.6923,174.834385556,-36.602844497,132.7110,0.0080,0.0138,0.0187
"BLUF","06-10-2014",-4300030.7404,891113.3702,-4610274.5373,168.292081144,-46.585060151,124.6299,168.292081434,-46.585060383,124.6445,168.292086675,-46.585064420,124.6445,168.292086733,-46.585064350,124.6620,0.0044,0.0078,0.0175
"CHTI","06-10-2014",-4607856.0959,-272375.5594,-4386954.3043,-176.617118400,-43.735471933,75.6699,-176.617118102,-43.735472134,75.6836,-176.617110310,-43.735476491,75.6836,-176.617110808,-43.735476336,75.7120,-0.0402,0.0172,0.0284
"CORM","06-10-2014",-5095050.9791,378667.1950,-3805557.6960,175.749558209,-36.865428197,170.2432,175.749558468,-36.865428429,170.2514,175.749557341,-36.865433293,170.2514,175.749557586,-36.865433425,170.2760,0.0219,-0.0146,0.0246
"DNVK","06-10-2014",-4860760.9540,325692.8100,-4103646.1956,176.166655378,-40.298853667,457.6179,176.166655651,-40.298853893,457.6286,176.166658188,-40.298857582,457.6287,176.166658241,-40.298857521,457.6790,0.0045,0.0068,0.0503
"DUND","06-10-2014",-4388120.6920,726671.8241,-4556533.2513,170.597164017,-45.883661926,386.9108,170.597164308,-45.883662154,386.9249,170.597170136,-45.883666046,386.9249,170.597170166,-45.883666004,386.9660,0.0023,0.0047,0.0411
"GISB","06-10-2014",-4985376.2936,184022.2245,-3960829.9411,177.886034793,-38.635334042,87.1833,177.886035063,-38.635334266,87.1930,177.886034827,-38.635336824,87.1930,177.886034931,-38.635336720,87.2290,0.0091,0.0115,0.0360
"GLDB","06-10-2014",-4792406.1952,628416.8571,-4148068.1502,172.529562461,-40.826591054,302.5956,172.529562731,-40.826591288,302.6064,172.529562850,-40.826596750,302.6056,172.529562800,-40.826596770,302.6540,-0.0042,-0.0022,0.0484
"HAAS","06-10-2014",-4502927.6604,892783.8688,-4414671.5544,168.785550480,-44.073200118,1053.5369,168.785550758,-44.073200354,1053.5498,168.785552706,-44.073205525,1053.5498,168.785552964,-44.073205604,1053.5700,0.0206,-0.0088,0.0202
"HAMT","06-10-2014",-5027290.1170,430177.7610,-3888561.6710,175.109198654,-37.806750045,69.4028,175.109198915,-37.806750277,69.4117,175.109198271,-37.806755356,69.4117,175.109198358,-37.806755322,69.4330,0.0077,0.0037,0.0213
