CODE,LAT,LON,EHGT,ROBG,COSY,DATE
"AUCK",-36.602844621,174.834385467,132.6923,"B10","NZGD2000","2000-01-01"
"BLUF",-46.585064420,168.292086675,124.6445,"B10","NZGD2000","2000-01-01"
"CHTI",-43.735476491,-176.617110310,75.6836,"B10","NZGD2000","2000-01-01"
"CORM",-36.865433293,175.749557341,170.2514,"B10","NZGD2000","2000-01-01"
"DNVK",-40.298857582,176.166658188,457.6287,"B10","NZGD2000","2000-01-01"
"DUND",-45.883666046,170.597170136,386.9249,"B10","NZGD2000","2000-01-01"
"GISB",-38.635336824,177.886034827,87.1930,"B10","NZGD2000","2000-01-01"
"GLDB",-40.826596750,172.529562850,302.6056,"B10","NZGD2000","2000-01-01"
"HAAS",-44.073205525,168.785552706,1053.5498,"B10","NZGD2000","2000-01-01"
"HAMT",-37.806755356,175.109198271,69.4117,"B10","NZGD2000","2000-01-01"
"HAST",-39.617032894,176.726563724,152.3507,"B10","NZGD2000","2000-01-01"
"HIKB",-37.561041334,178.303352412,107.2935,"B10","NZGD2000","2000-01-01"
"HOKI",-42.712907519,170.984315320,53.6632,"B10","NZGD2000","2000-01-01"
"KAIK",-42.425466894,173.533658863,314.7706,"B10","NZGD2000","2000-01-01"
"KTIA",-35.068932936,173.273109782,127.4438,"B10","NZGD2000","2000-01-01"
"LEXA",-45.231017334,169.308249427,331.8554,"B10","NZGD2000","2000-01-01"
"LKTA",-42.783371489,172.266333310,712.9888,"B10","NZGD2000","2000-01-01"
"MAHO",-38.513009126,174.854087479,302.4969,"B10","NZGD2000","2000-01-01"
"MAST",-41.061990442,175.584577709,207.2129,"B10","NZGD2000","2000-01-01"
"MAVL",-45.366518405,168.118214475,592.4630,"B10","NZGD2000","2000-01-01"
"METH",-43.591354804,171.575302874,452.6584,"B10","NZGD2000","2000-01-01"
"MQZG",-43.702736102,172.654703010,154.6653,"B10","NZGD2000","2000-01-01"
"MTJO",-43.985705999,170.464942941,1043.6593,"B10","NZGD2000","2000-01-01"
"NLSN",-41.183508509,173.433730421,302.1512,"B10","NZGD2000","2000-01-01"
"NPLY",-39.182557370,174.118174034,416.9394,"B10","NZGD2000","2000-01-01"
"PYGR",-46.166176640,166.680735098,253.2425,"B10","NZGD2000","2000-01-01"
"TAUP",-38.742716664,176.080994584,427.0365,"B10","NZGD2000","2000-01-01"
"TRNG",-37.728812059,176.260877289,151.1091,"B10","NZGD2000","2000-01-01"
"VGMT",-39.384583047,175.470460866,836.5451,"B10","NZGD2000","2000-01-01"
"WAIM",-44.655704978,170.920302381,1044.8666,"B10","NZGD2000","2000-01-01"
"WANG",-39.786880974,174.821447129,289.6890,"B10","NZGD2000","2000-01-01"
"WARK",-36.434414309,174.662779363,111.2858,"B10","NZGD2000","2000-01-01"
"WEST",-41.744746797,171.806222877,665.3619,"B10","NZGD2000","2000-01-01"
"WGTN",-41.323457157,174.805894025,26.0288,"B10","NZGD2000","2000-01-01"
"WHKT",-37.981686292,177.013877909,231.8455,"B10","NZGD2000","2000-01-01"
"WHNG",-35.803771589,174.314566496,172.7882,"B10","NZGD2000","2000-01-01"
